X,Y,OBJECTID_1,OBJECTID,ID,PORT,PORT_NAME,GRAND_TOTA,FOREIGN_TO,IMPORTS,EXPORTS,DOMESTIC
-89.568659999677948,36.526836999731586,77,77,102,I2288,"New Madrid County, MO, Port of",2259548,0,0,0,2259548
-89.205352000227023,36.581544000340209,78,78,132,I2304,"Hickman-Fulton County Riverport, KY",1283282,0,0,0,1283282
-88.693177000200478,37.129275999735064,79,79,122,I2302,"Paducah-McCracken County Riverport, KY",1813468,0,0,0,1813468
-90.229610000218614,38.569540000195474,80,80,19,I2310,"St. Louis, MO and IL",37426710,0,0,0,37426710
-89.934880000411752,37.973320000211807,81,81,140,I2301,"Southeast Missouri Port, MO",1054128,0,0,0,1054128
-90.046145999849372,38.143331999700969,82,82,72,I2307,"Kaskaskia, IL, Port of",5776030,0,0,0,5776030
-86.287505999626859,34.373904000069643,83,83,119,I2371,"Guntersville, AL",1918572,0,0,0,1918572
-86.774670000410055,36.165130000267354,84,84,69,I2370,"Nashville, TN",6154679,0,0,0,6154679
-85.326819999916353,35.024479999937768,85,85,105,I2372,"Chattanooga, TN",2225953,0,0,0,2225953
-87.87500000036907,37.922080000113439,86,86,51,I2332,"Mount Vernon, IN",10332103,0,0,0,10332103
-87.593777999828873,37.842685000209833,87,87,123,I2329,"Henderson County Riverport, KY",1757755,0,0,0,1757755
-87.111687999977363,37.776366999874384,88,88,92,I2331,"Owensboro, KY",2872596,0,0,0,2872596
-87.637989999586765,41.886620000123123,89,89,37,L3749,"Chicago, IL",16866792,1689286,1586551,102735,15177506
-87.445470000193325,41.675859999897462,90,90,45,L3738,"Indiana Harbor, IN",11910541,173417,173417,0,11737124
-87.416139999878595,41.645229999965899,91,91,125,L3737,"Buffington, IN",1634865,0,0,0,1634865
-87.325130000391525,41.612020000135729,92,92,56,L3736,"Gary, IN",8600449,84286,84286,0,8516163
-87.155210000172261,41.643249999892497,93,93,57,L3739,"Burns Waterway Harbor, IN",8496097,973688,973688,0,7522409
-85.760993000130256,38.26147000010436,94,94,67,I2333,"Louisville, KY",6241476,0,0,0,6241476
-84.504499999639009,39.094030000273605,95,95,18,I2338,"Cincinnati-Northern KY, Ports of",38534187,0,0,0,38534187
-92.096407999554742,46.778362000078673,96,96,20,L3924,"Duluth-Superior, MN and WI",35102200,8316881,612677,7704204,26785319
